element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0,0.0502,0.0985,0.0826,0.1287,0.3664,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0007,0.0448,0.1012,0.086,0.1362,0.3427,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0008,0.0456,0.1023,0.0835,0.1345,0.4214,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0048,0.0387,0.1039,0.092,0.1509,0.4158,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0002,0.046,0.1075,0.0931,0.1578,0.4108,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0001,0.04,0.1032,0.0959,0.1491,0.3876,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0031,0.0442,0.0956,0.0767,0.123,0.4139,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0013,0.0462,0.1022,0.0838,0.1365,0.4318,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0016,0.044,0.1004,0.0713,0.1405,0.3774,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0035,0.0273,0.0722,0.0695,0.1139,0.2043,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0007,0.0276,0.074,0.0729,0.1098,0.2157,100.0
"Δ₁,₄ (z1:Price)",HMC,0.001,0.0309,0.0783,0.0711,0.1207,0.2381,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0002,0.0428,0.1019,0.0807,0.1478,0.3594,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0016,0.0418,0.1073,0.0868,0.1592,0.3741,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0002,0.0352,0.1074,0.0825,0.1659,0.3733,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0002,0.0357,0.1023,0.0898,0.1466,0.3119,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0005,0.0258,0.1027,0.0942,0.1491,0.3642,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0007,0.0469,0.1068,0.0997,0.15,0.395,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0014,0.0313,0.0986,0.0646,0.1524,0.495,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0005,0.0352,0.1036,0.0716,0.1639,0.5129,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.001,0.0365,0.1026,0.0767,0.1306,0.4789,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0021,0.0344,0.0791,0.0679,0.1147,0.2351,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0012,0.0294,0.0818,0.0666,0.1177,0.2477,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0035,0.0349,0.0837,0.0701,0.1223,0.3338,100.0
