element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.054,0.0956,0.1446,0.1101,0.1438,0.9101,100.0
"Δ₁,₁ (z1:Alt1)",Replication,0.054,0.0953,0.1454,0.111,0.1397,0.8938,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0546,0.0963,0.1482,0.1122,0.1421,0.9581,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.055,0.0951,0.1414,0.1114,0.1445,0.6456,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0623,0.0963,0.1409,0.1149,0.1519,0.7273,100.0
"Δ₁,₂ (z1:Alt2)",Replication,0.0623,0.0962,0.1425,0.1157,0.1576,0.8652,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0624,0.0985,0.1448,0.116,0.1581,0.7647,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0636,0.0964,0.1412,0.1155,0.1539,0.6332,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0598,0.0954,0.1535,0.1119,0.1399,1.0971,100.0
"Δ₁,₃ (z1:Alt3)",Replication,0.0595,0.0951,0.1546,0.1128,0.1395,1.1084,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0607,0.0968,0.1589,0.1141,0.1426,1.1743,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0605,0.0969,0.1567,0.1123,0.1448,1.4271,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0495,0.0758,0.0991,0.0934,0.117,0.1977,100.0
"Δ₁,₄ (z1:Price)",Replication,0.0496,0.0767,0.0995,0.0941,0.1172,0.1976,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0496,0.0765,0.0996,0.0933,0.1182,0.2083,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0493,0.0759,0.0989,0.093,0.1159,0.1956,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0531,0.0916,0.1414,0.1147,0.1434,0.7135,100.0
"Δ₂,₁ (z2:Alt1)",Replication,0.0525,0.0914,0.143,0.1144,0.1473,0.7965,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0531,0.0925,0.1459,0.1172,0.1464,0.8749,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0526,0.0926,0.1427,0.1186,0.1448,0.7691,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0606,0.0956,0.1399,0.1145,0.1504,0.6024,100.0
"Δ₂,₂ (z2:Alt2)",Replication,0.061,0.0962,0.1416,0.114,0.1497,0.7378,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0611,0.0959,0.143,0.1157,0.1561,0.5781,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0622,0.0956,0.1416,0.1146,0.1528,0.5897,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0609,0.0955,0.1529,0.1106,0.1433,0.9467,100.0
"Δ₂,₃ (z2:Alt3)",Replication,0.0604,0.0969,0.1517,0.1107,0.1469,0.7734,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0612,0.0956,0.15,0.1093,0.1463,0.6761,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0607,0.094,0.1515,0.1126,0.1501,0.9432,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0492,0.0765,0.098,0.0911,0.1168,0.2011,100.0
"Δ₂,₄ (z2:Price)",Replication,0.0492,0.0767,0.098,0.0911,0.1174,0.1999,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.049,0.076,0.0982,0.0918,0.1167,0.2114,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0491,0.0765,0.0982,0.0925,0.1185,0.2101,100.0
