element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.085,0.104,0.1154,0.1148,0.1239,0.1637,100.0
"Δ₁,₁ (z1:Alt1)",Replication,0.0894,0.1051,0.1157,0.1134,0.1243,0.1601,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0927,0.1112,0.1241,0.1243,0.1336,0.1776,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0912,0.1099,0.1272,0.1262,0.1411,0.1963,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0869,0.1064,0.1164,0.1149,0.1268,0.1585,100.0
"Δ₁,₂ (z1:Alt2)",Replication,0.0861,0.1065,0.1168,0.1147,0.1273,0.1622,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0917,0.1112,0.1235,0.12,0.1347,0.1762,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0927,0.1136,0.1266,0.1227,0.139,0.1799,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0813,0.1054,0.1176,0.1142,0.1255,0.1922,100.0
"Δ₁,₃ (z1:Alt3)",Replication,0.0815,0.1046,0.1176,0.1136,0.1258,0.1989,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0819,0.1104,0.1236,0.12,0.1321,0.2002,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0813,0.1124,0.1254,0.1213,0.1326,0.2,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0685,0.0836,0.0911,0.0902,0.0969,0.1311,100.0
"Δ₁,₄ (z1:Price)",Replication,0.0691,0.0837,0.0915,0.0911,0.0977,0.1343,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0725,0.0854,0.0949,0.0933,0.103,0.13,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0722,0.0867,0.0962,0.0945,0.1023,0.1442,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.084,0.1063,0.1159,0.1157,0.1228,0.1952,100.0
"Δ₂,₁ (z2:Alt1)",Replication,0.0836,0.1047,0.1157,0.1145,0.1254,0.187,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.087,0.113,0.1244,0.1226,0.1334,0.1956,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0851,0.1129,0.1268,0.1246,0.1355,0.2003,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0821,0.1067,0.1154,0.114,0.1227,0.1537,100.0
"Δ₂,₂ (z2:Alt2)",Replication,0.0817,0.1068,0.1159,0.1134,0.1239,0.1532,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0855,0.1121,0.1224,0.1182,0.1312,0.1743,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0867,0.1123,0.1235,0.1206,0.1324,0.1705,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.086,0.1046,0.1169,0.1122,0.1252,0.1823,100.0
"Δ₂,₃ (z2:Alt3)",Replication,0.0868,0.1035,0.1173,0.1126,0.1268,0.1807,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0835,0.1083,0.122,0.1156,0.1331,0.1879,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0865,0.1082,0.1237,0.1194,0.1335,0.1848,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0677,0.0827,0.0904,0.0888,0.0978,0.1251,100.0
"Δ₂,₄ (z2:Price)",Replication,0.0666,0.0822,0.0904,0.0887,0.0973,0.125,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0674,0.085,0.0942,0.0913,0.1012,0.1412,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0692,0.0854,0.0948,0.0934,0.1034,0.1421,100.0
