param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.03581,0.07794,0.12602,0.10344,0.13818,0.39185,100.0
Alt1,NUTS,Hellinger,0.03403,0.09771,0.15862,0.14074,0.18188,0.45785,100.0
Alt1,HMC,Hellinger,0.03252,0.10216,0.16991,0.14476,0.20706,0.46134,100.0
Alt1,bayesm,KL,0.00598,0.0379,inf,0.08279,0.1956,inf,100.0
Alt1,NUTS,KL,0.00598,0.07239,inf,0.24254,,inf,100.0
Alt1,HMC,KL,0.0051,0.10201,inf,0.44777,,inf,100.0
Alt1,bayesm,JSD,0.00124,0.00574,0.01914,0.00974,0.01734,0.12375,100.0
Alt1,NUTS,JSD,0.00111,0.00849,0.02876,0.0176,0.03012,0.16662,100.0
Alt1,HMC,JSD,0.00103,0.00977,0.03325,0.01893,0.03892,0.1657,100.0
Alt1,bayesm,TVD,0.02684,0.06768,0.10491,0.08941,0.12384,0.32831,100.0
Alt1,NUTS,TVD,0.02536,0.08262,0.13235,0.1164,0.15419,0.39133,100.0
Alt1,HMC,TVD,0.02803,0.0853,0.14634,0.12743,0.19984,0.38987,100.0
Alt1,bayesm,Wasserstein1,0.06805,0.16731,0.37733,0.28107,0.42767,1.905,100.0
Alt1,NUTS,Wasserstein1,0.05236,0.24854,0.67078,0.41421,0.61792,7.09317,100.0
Alt1,HMC,Wasserstein1,0.07164,0.30762,0.66216,0.45714,0.68062,4.58048,100.0
Alt2,bayesm,Hellinger,0.03885,0.07555,0.1227,0.10437,0.14515,0.43992,100.0
Alt2,NUTS,Hellinger,0.03594,0.09567,0.1455,0.11929,0.1923,0.46067,100.0
Alt2,HMC,Hellinger,0.03998,0.0929,0.15151,0.12388,0.19585,0.47736,100.0
Alt2,bayesm,KL,0.00946,0.03548,inf,0.07442,0.2191,inf,100.0
Alt2,NUTS,KL,0.0062,0.05941,inf,0.22112,,inf,100.0
Alt2,HMC,KL,0.0085,0.06393,inf,0.47016,,inf,100.0
Alt2,bayesm,JSD,0.00138,0.00532,0.01741,0.0098,0.01928,0.15308,100.0
Alt2,NUTS,JSD,0.00126,0.00891,0.02348,0.01349,0.03444,0.17347,100.0
Alt2,HMC,JSD,0.00152,0.00801,0.02647,0.01407,0.03271,0.17943,100.0
Alt2,bayesm,TVD,0.02677,0.06632,0.10577,0.09438,0.12644,0.33708,100.0
Alt2,NUTS,TVD,0.0261,0.08582,0.12513,0.10679,0.15334,0.42099,100.0
Alt2,HMC,TVD,0.02882,0.08405,0.13266,0.1115,0.15948,0.40131,100.0
Alt2,bayesm,Wasserstein1,0.07328,0.19542,0.36794,0.30427,0.41646,2.02188,100.0
Alt2,NUTS,Wasserstein1,0.05566,0.25103,0.50995,0.37853,0.54948,3.5809,100.0
Alt2,HMC,Wasserstein1,0.08831,0.25176,0.49904,0.40034,0.55847,2.44984,100.0
Alt3,bayesm,Hellinger,0.04538,0.08299,0.13139,0.10528,0.15559,0.44355,100.0
Alt3,NUTS,Hellinger,0.03617,0.08875,0.14865,0.11574,0.18184,0.44112,100.0
Alt3,HMC,Hellinger,0.04368,0.08824,0.15437,0.11335,0.20143,0.46108,100.0
Alt3,bayesm,KL,0.01183,0.03643,0.54794,0.08028,0.2678,18.15451,100.0
Alt3,NUTS,KL,0.00748,0.04381,inf,0.17406,,inf,100.0
Alt3,HMC,KL,0.01095,0.04581,inf,0.56686,,inf,100.0
Alt3,bayesm,JSD,0.00194,0.00649,0.02074,0.00996,0.02206,0.15375,100.0
Alt3,NUTS,JSD,0.00124,0.0074,0.02676,0.01225,0.0302,0.16889,100.0
Alt3,HMC,JSD,0.00175,0.00696,0.02883,0.01164,0.03613,0.17147,100.0
Alt3,bayesm,TVD,0.03155,0.06819,0.11223,0.09215,0.12938,0.34287,100.0
Alt3,NUTS,TVD,0.02083,0.07269,0.12885,0.10726,0.15123,0.45448,100.0
Alt3,HMC,TVD,0.0287,0.07437,0.13576,0.10316,0.17005,0.41293,100.0
Alt3,bayesm,Wasserstein1,0.07793,0.18999,0.43579,0.31974,0.4322,3.16896,100.0
Alt3,NUTS,Wasserstein1,0.05454,0.22814,0.502,0.36769,0.52568,2.28866,100.0
Alt3,HMC,Wasserstein1,0.06774,0.23885,0.54554,0.38118,0.59509,2.81075,100.0
Price,bayesm,Hellinger,0.02895,0.06726,0.08846,0.08324,0.10538,0.19565,100.0
Price,NUTS,Hellinger,0.03605,0.07382,0.10157,0.0963,0.11843,0.26953,100.0
Price,HMC,Hellinger,0.04488,0.07446,0.11167,0.09727,0.13611,0.28707,100.0
Price,bayesm,KL,0.00408,0.02478,inf,0.04324,0.08232,inf,100.0
Price,NUTS,KL,0.00587,0.02582,inf,0.07331,1.08078,inf,100.0
Price,HMC,KL,0.00981,0.02973,inf,0.1144,,inf,100.0
Price,bayesm,JSD,0.00081,0.00416,0.00819,0.00652,0.01084,0.0347,100.0
Price,NUTS,JSD,0.00127,0.00511,0.01105,0.00833,0.01315,0.06057,100.0
Price,HMC,JSD,0.00194,0.00518,0.01374,0.0089,0.01639,0.06818,100.0
Price,bayesm,TVD,0.02739,0.05499,0.0775,0.07636,0.0931,0.17902,100.0
Price,NUTS,TVD,0.03103,0.06182,0.08815,0.08146,0.10425,0.21919,100.0
Price,HMC,TVD,0.03041,0.06723,0.09708,0.08708,0.11442,0.25149,100.0
Price,bayesm,Wasserstein1,0.07396,0.16806,0.26604,0.24452,0.32315,0.745,100.0
Price,NUTS,Wasserstein1,0.08024,0.20041,0.32693,0.27068,0.4083,1.06065,100.0
Price,HMC,Wasserstein1,0.07498,0.20989,0.35671,0.31584,0.48089,1.05183,100.0
